,Accuracy,BalancedAccuracy,MacroF1,WeightedF1,AUROC_OVR,AUPRC_macro,LogLoss,Brier_multiclass,ECE,N_precision,N_recall,N_f1,S_precision,S_recall,S_f1,V_precision,V_recall,V_f1,F_precision,F_recall,F_f1,Q_precision,Q_recall,Q_f1,Params,TrainingSeconds,InferenceMs,ModelSizeKB
Logistic Regression,0.5635532017332692,0.5388118081180812,0.42191273583287303,0.500153739401621,0.7304285544608253,0.5430876473648464,5.2644195556640625,0.795360126225405,0.37442847082663117,0.0,0.0,0.0,0.5125523012552301,0.9040590405904059,0.6542056074766355,0.49536082474226806,0.8008333333333333,0.6121019108280255,0.010238907849829351,0.25,0.019672131147540985,0.929769392033543,0.7391666666666666,0.8235840297121634,,,,
Random Forest,0.38444872412132886,0.3721912669126691,0.21859624458821197,0.2513455686939619,0.7951482630201184,0.49842014271075585,5.078034030525771,0.8206717426032489,0.2087545136829923,0.0,0.0,0.0,0.25736738703339884,0.966789667896679,0.4065166795965865,0.5335012594458438,0.8825,0.6649921507064365,0.0,0.0,0.0,0.1346153846153846,0.011666666666666667,0.02147239263803681,,,,
RNN,0.4176697159364468,0.4084538745387453,0.2861082627759036,0.3172106285819911,0.7719874974843011,0.5613816826032948,2.4096262454986572,0.9262499017229125,0.40138318037033993,0.0,0.0,0.0,0.44405594405594406,0.9372693726937269,0.6026097271648873,0.5887096774193549,0.9733333333333334,0.7336683417085427,0.0010395010395010396,0.08333333333333333,0.002053388090349076,1.0,0.04833333333333333,0.09220985691573927,26981.0,1.4071331024169922,0.01748100793138003,110.2080078125
LSTM,0.40611458834857966,0.3978234932349323,0.28279644907573054,0.2993473585908027,0.7277015793358994,0.4580940144467582,2.718657970428467,0.978605285193661,0.4005383318886484,0.0,0.0,0.0,0.5487804878048781,0.9132841328413284,0.685595567867036,0.5504672897196262,0.9816666666666667,0.7053892215568862,0.0009225092250922509,0.08333333333333333,0.0018248175182481751,0.4642857142857143,0.010833333333333334,0.021172638436482084,41093.0,1.8152761459350586,0.019742087406125573,165.3486328125
GRU,0.4025036109773712,0.3969421894218942,0.27440623507099354,0.30182803597387725,0.7229342058185442,0.45710519505278074,2.772773027420044,1.000809719487236,0.4101474748087664,0.0,0.0,0.0,0.4354978354978355,0.9280442804428044,0.5928108426635239,0.5633802816901409,0.9333333333333333,0.7026348808030113,0.0010976948408342481,0.08333333333333333,0.0021668472372697724,0.5333333333333333,0.04,0.07441860465116279,36389.0,1.9950947761535645,0.02412503731172921,146.9580078125
BiLSTM,0.37385652383245066,0.3549434194341944,0.26845259846155634,0.2945731264419659,0.6805362824093754,0.4145780924564054,3.4320759773254395,1.067606632863331,0.4670623127921706,0.0,0.0,0.0,0.4426840633737186,0.8763837638376384,0.5882352941176471,0.5723793677204659,0.86,0.6873126873126874,0.0,0.0,0.0,0.2569832402234637,0.03833333333333333,0.06671501087744743,60149.0,2.3580827713012695,0.025161473029174295,240.8837890625
BiLSTM_Attention,0.40804044294655756,0.4009778597785978,0.2785001061519484,0.30286584629182767,0.7601438776465551,0.5094923368928522,3.1480777263641357,0.9964848463130275,0.4401214693708378,0.0,0.0,0.0,0.46971109040074555,0.9298892988929889,0.6241486068111455,0.5899244332493703,0.9758333333333333,0.7353218210361068,0.0009389671361502347,0.08333333333333333,0.0018570102135561746,1.0,0.015833333333333335,0.031173092698933553,69558.0,2.323185920715332,0.03254822313877026,279.0595703125
