MacroF1,MacroAUPRC,MacroAUROC,BalancedAccuracy,Accuracy,N_recall,F_recall,experiment,validation_MacroF1,seed,mode,architecture,Params,candidate,lambda
0.28627662543059806,0.5523731010127252,0.7783923604011317,0.41221525215252147,0.44342802118440056,0.0,0.0,original_symbol_balanced_sampler,0.1607681209836968,42.0,symbol_sampler,RNN,8517,symbol_sampler,
0.1822724938435095,0.46992799432069254,0.7203848648927768,0.3046789667896679,0.2843042850264805,0.0016666666666666668,0.0,original_symbol_aware_loss,0.04151714145556977,42.0,symbol_loss,RNN,8517,symbol_loss,
0.3936682173433373,0.5803587138046339,0.7888948542270836,0.4819292742927429,0.5423688011555128,0.0,0.0,multitask_lambda_0.1,0.16985499464771456,,,,8913,multitask_0.1,0.1
0.3998707643602422,0.6004730700391321,0.792278094841887,0.5075848708487085,0.5373134328358209,0.0,0.16666666666666666,multitask_lambda_0.25,0.16935491145418619,,,,8913,multitask_0.25,0.25
0.4186105250855877,0.5825341241315459,0.7709352554452982,0.5190492004920049,0.5541646605681271,0.0,0.16666666666666666,multitask_lambda_0.5,0.1657172828278454,,,,8913,multitask_0.5,0.5
0.12723933870615936,0.28753556468162433,0.5995074802449138,0.22446125461254612,0.3040442946557535,0.0025,0.0,domain_adversarial,0.30914242652082996,,,small_CNN_RNN_GRL,2818,domain_adversarial,
