class,precision,recall,f1,support,auroc,auprc,experiment
N,0.06521739130434782,0.0025,0.004815409309791332,1200,0.4107137215075604,0.2412157606054724,domain_adversarial
S,0.10102489019033675,0.12730627306273062,0.1126530612244898,542,0.6039066682195061,0.1479454086354262,domain_adversarial
V,0.35112028301886794,0.9925,0.5187282229965157,1200,0.7809652166553824,0.4800937152169018,domain_adversarial
F,0.0,0.0,0.0,12,0.4121599871237728,0.0026657167945230804,domain_adversarial
Q,0.0,0.0,0.0,1200,0.789791807718348,0.5657572221557982,domain_adversarial
