representation,MacroF1,MacroAUPRC,MacroAUROC
waveform_only,0.2664970155,0.5531735736,0.7751677611
waveform_plus_RR,0.1886314271,0.5333684738,0.7493315742
waveform_plus_RR_plus_morphology,0.43005990089809637,0.6102244366368276,0.8135982422624044
