model,metric,estimate,ci_lower_95,ci_upper_95,bootstrap_samples
phase3_final,MacroAUPRC,0.5963220323855083,0.5894900020778727,0.60329438820554,500
phase3_final,MacroAUROC,0.790607924571247,0.7522118999394606,0.8222148823083834,500
phase3_final,MacroF1,0.40123549379362033,0.3924159925234042,0.40942511478533944,500
