class,precision,recall,f1,support,auroc_ovr,auprc_ovr
N,0.0,0.0,0.0,1200,0.5966263258858047,0.370095608317906
S,0.44405594405594406,0.9372693726937269,0.6026097271648873,542,0.9742984639148716,0.9166535051530396
V,0.5887096774193549,0.9733333333333334,0.7336683417085427,1200,0.9105486910403973,0.7367703183877348
F,0.0010395010395010396,0.08333333333333333,0.002053388090349076,12,0.48464912280701755,0.002856488086933746
Q,1.0,0.04833333333333333,0.09220985691573927,1200,0.8938148837734146,0.7805324930708597
