representation,MacroF1,MacroAUPRC,MacroAUROC,N_recall,F_recall
waveform_only,0.2664970155,0.5531735736,0.7751677611,,
handcrafted_morphology,0.4012354938,0.5963220324,0.7906079246,,
cnn_morphology_embedding,0.121712865925471,0.2912990465594717,0.6119804428974591,,
cnn_rr_morph_symbol_loss,0.1822724938435095,0.46992799432069254,0.7203848648927768,0.0016666666666666668,0.0
cnn_rr_morph_multitask,0.3998707643602422,0.6004730700391321,0.792278094841887,0.0,0.16666666666666666
cnn_rr_morph_domain_adversarial,0.12723933870615936,0.28753556468162433,0.5995074802449138,0.0025,0.0
