MacroF1,MacroAUPRC,MacroAUROC,BalancedAccuracy,MinRecall,Accuracy,N_recall,F_recall,experiment,architecture,loss,sampler,augmentation,seed,context,feature_mode,Seconds,Params
0.26903862848866933,0.5470723190683767,0.7953440675384584,0.3851088560885609,0.0,0.4092441020702937,0.0,0.0,BiLSTM_Attention_seed_42,BiLSTM_Attention,class_weight,False,False,42,8,waveform,1.3616021319758147,27302
0.25755456428108464,0.5788207193438113,0.8052226082680729,0.39019188191881915,0.0,0.4145402022147328,0.0,0.0,BiLSTM_Attention_seed_43,BiLSTM_Attention,class_weight,False,False,43,8,waveform,1.330214464920573,27302
0.29383845210507376,0.4766871851591118,0.7241754989807715,0.38807380073800735,0.0,0.417910447761194,0.0,0.0,BiLSTM_Attention_seed_44,BiLSTM_Attention,class_weight,False,False,44,8,waveform,1.3871100780088454,27302
0.28646068274416103,0.538248428988628,0.7439832403239274,0.39850123001230014,0.0,0.4253731343283582,0.0,0.0,BiLSTM_Attention_seed_45,BiLSTM_Attention,class_weight,False,False,45,8,waveform,1.367948116036132,27302
0.2867186214313671,0.4783479155963267,0.697853232807339,0.4109661746617467,0.0,0.4239287433798748,0.0,0.08333333333333333,BiLSTM_Attention_seed_46,BiLSTM_Attention,class_weight,False,False,46,8,waveform,1.2369167240103707,27302
0.266497015503807,0.5531735735909005,0.7751677611164495,0.3789772447724477,0.0,0.39600385170919594,0.0,0.0,RNN_seed_42,RNN,class_weight,False,False,42,8,waveform,0.7978564350632951,8133
0.26898641085948,0.5256130683982785,0.7416157920269317,0.376060270602706,0.0,0.38974482426576795,0.0,0.0,RNN_seed_43,RNN,class_weight,False,False,43,8,waveform,0.8398249209858477,8133
0.2350290619447649,0.4301995541174529,0.6803947860315416,0.3635965559655596,0.0,0.3517091959557053,0.0,0.08333333333333333,RNN_seed_44,RNN,class_weight,False,False,44,8,waveform,0.813843960990198,8133
0.3008278345648095,0.5158365038917105,0.7064493573327286,0.40798954489544903,0.0,0.4405392392874338,0.0,0.0,RNN_seed_45,RNN,class_weight,False,False,45,8,waveform,0.8371345050400123,8133
0.35333063227625866,0.529951179031551,0.7002340022241024,0.42439421894218937,0.0,0.46364949446316805,0.0,0.0,RNN_seed_46,RNN,class_weight,False,False,46,8,waveform,0.8027632030425593,8133
0.40123549379362033,0.5963220323855083,0.790607924571247,0.485370233702337,0.0,0.5505536831969187,0.0,0.0,RNN_rr_morphology_seed_42,RNN,class_weight,False,False,42,8,rr_morphology,0.8033096300205216,8517
0.41838361515045425,0.5911409339457896,0.7945426076776583,0.5115725707257073,0.0,0.5881078478574867,0.0,0.0,RNN_rr_morphology_seed_43,RNN,class_weight,False,False,43,8,rr_morphology,0.8465737570077181,8517
0.426600231027081,0.6195420398010336,0.8373505445587648,0.5106328413284132,0.0,0.5917188252286952,0.0,0.0,RNN_rr_morphology_seed_44,RNN,class_weight,False,False,44,8,rr_morphology,0.8285756930708885,8517
0.3823112913792579,0.5605152576025054,0.7754311588116206,0.47116851168511686,0.0,0.5344246509388542,0.0,0.0,RNN_rr_morphology_seed_45,RNN,class_weight,False,False,45,8,rr_morphology,0.8527041330235079,8517
0.4151191632636471,0.5870663271504795,0.7881888831546536,0.5263462484624846,0.0,0.5847376023110256,0.0,0.08333333333333333,RNN_rr_morphology_seed_46,RNN,class_weight,False,False,46,8,rr_morphology,0.8451506469864398,8517
