MacroF1,MacroAUPRC,MacroAUROC,BalancedAccuracy,Accuracy,N_recall,F_recall,experiment,validation_MacroF1,seed,mode,architecture,Params,model
0.40123549379362033,0.5963220323855083,0.790607924571247,0.485370233702337,0.5505536831969187,0.0,0.0,phase3_seed_frozen_baseline_42,0.17556085394092225,42,current,RNN,8517,frozen_baseline
0.41838361515045425,0.5911409339457896,0.7945426076776583,0.5115725707257073,0.5881078478574867,0.0,0.0,phase3_seed_frozen_baseline_43,0.17106706850977998,43,current,RNN,8517,frozen_baseline
0.426600231027081,0.6195420398010336,0.8373505445587648,0.5106328413284132,0.5917188252286952,0.0,0.0,phase3_seed_frozen_baseline_44,0.17608160182195604,44,current,RNN,8517,frozen_baseline
0.3823112913792579,0.5605152576025054,0.7754311588116206,0.47116851168511686,0.5344246509388542,0.0,0.0,phase3_seed_frozen_baseline_45,0.1685663979241961,45,current,RNN,8517,frozen_baseline
0.4151191632636471,0.5870663271504795,0.7881888831546536,0.5263462484624846,0.5847376023110256,0.0,0.08333333333333333,phase3_seed_frozen_baseline_46,0.1741123949431057,46,current,RNN,8517,frozen_baseline
0.1822724938435095,0.46992799432069254,0.7203848648927768,0.3046789667896679,0.2843042850264805,0.0016666666666666668,0.0,phase3_seed_phase3_symbol_loss_42,0.04151714145556977,42,symbol_loss,RNN,8517,phase3_symbol_loss
0.10377284073753683,0.3379970527578973,0.54661614801126,0.2225479704797048,0.1653827636013481,0.0,0.0,phase3_seed_phase3_symbol_loss_43,0.05604225986605997,43,symbol_loss,RNN,8517,phase3_symbol_loss
0.16317205531306017,0.37133734587143186,0.6472851377971592,0.27310824108241083,0.24337987481945114,0.0,0.0,phase3_seed_phase3_symbol_loss_44,0.03768574420145676,44,symbol_loss,RNN,8517,phase3_symbol_loss
0.1163061137914112,0.25813824156994514,0.5086372470826286,0.22345325953259532,0.17019740009629272,0.0008333333333333334,0.0,phase3_seed_phase3_symbol_loss_45,0.04046396310933746,45,symbol_loss,RNN,8517,phase3_symbol_loss
0.1584873636479946,0.33335247809363316,0.5892354283530045,0.24618019680196804,0.2079922965816081,0.09,0.0,phase3_seed_phase3_symbol_loss_46,0.06516135293484769,46,symbol_loss,RNN,8517,phase3_symbol_loss
