MacroF1,MacroAUPRC,MacroAUROC,BalancedAccuracy,MinRecall,Accuracy,N_recall,F_recall,experiment,architecture,loss,sampler,augmentation,seed,context,feature_mode,Seconds,Params
0.40123549379362033,0.5963220323855083,0.790607924571247,0.485370233702337,0.0,0.5505536831969187,0.0,0.0,features_rr_morphology,RNN,class_weight,False,False,42,8,rr_morphology,0.8833633429603651,8517
0.39630787898427716,0.5356786078394032,0.7745339743640163,0.4855141451414514,0.0,0.4862782859894078,,,hierarchical_N_vs_nonN,hierarchical_RNN,class_weight,False,False,42,8,waveform,,16134
0.26903862848866933,0.5470723190683767,0.7953440675384584,0.3851088560885609,0.0,0.4092441020702937,0.0,0.0,BiLSTM_Attention,BiLSTM_Attention,class_weight,False,False,42,8,waveform,1.4186486889375374,27302
0.266497015503807,0.5531735735909005,0.7751677611164495,0.3789772447724477,0.0,0.39600385170919594,0.0,0.0,RNN,RNN,class_weight,False,False,42,8,waveform,0.8744959939504042,8133
0.266497015503807,0.5531735735909005,0.7751677611164495,0.3789772447724477,0.0,0.39600385170919594,0.0,0.0,features_waveform,RNN,class_weight,False,False,42,8,waveform,0.9440701530547813,8133
0.25720453590057324,0.503087678633562,0.7396872818331941,0.38239360393603933,0.0,0.3988926336061627,0.0,0.0,GRU,GRU,class_weight,False,False,42,8,waveform,1.2138835350051522,12357
0.23633203715669024,0.4304327352423559,0.6885030107624117,0.3901082410824108,0.0,0.4123736157920077,0.0,0.0,LSTM,LSTM,class_weight,False,False,42,8,waveform,1.004605660913512,14469
0.2331711903350436,0.4197644321623482,0.6836920542640283,0.3480848708487085,0.0,0.3545979778526721,0.0,0.0,BiLSTM,BiLSTM,class_weight,False,False,42,8,waveform,1.2148548470577225,23077
0.19905821905049545,0.3189265559676841,0.7072512596203403,0.30222878228782285,0.0,0.29537794896485314,0.0,0.0,CNN_BiLSTM_Attention,CNN_BiLSTM_Attention,class_weight,False,False,42,8,waveform,10.709888615994714,24198
0.1886314271481875,0.5333684737818989,0.7493315741989156,0.3308456334563346,0.0,0.32209918151179584,0.0,0.0,features_rr,RNN,class_weight,False,False,42,8,rr,0.9295033239759505,8261
