,N,S,V,F,Q
N,0.0,0.42,0.5291666666666667,0.050833333333333335,0.0
S,0.01107011070110701,0.9372693726937269,0.007380073800738007,0.04428044280442804,0.0
V,0.0,0.02666666666666667,0.9733333333333334,0.0,0.0
F,0.0,0.5,0.4166666666666667,0.08333333333333333,0.0
Q,0.0,0.07833333333333334,0.14333333333333334,0.73,0.04833333333333333
